city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Sankt Niklaus,46.1833,7.8000,Switzerland,CH,Valais,,2239,2239
Sankt Stephan,46.5000,7.3831,Switzerland,CH,Bern,,1339,1339
Sankt Ursen,46.7869,7.2243,Switzerland,CH,Fribourg,,1345,1345
Sant’ Antonino,46.1500,8.9833,Switzerland,CH,Ticino,,2525,2525
Sarmenstorf,47.3122,8.2500,Switzerland,CH,Aargau,,2902,2902
Sarnen,46.8969,8.2469,Switzerland,CH,Obwalden,admin,10368,10368
Satigny,46.2141,6.0368,Switzerland,CH,Genève,,4185,4185
Sattel,47.0808,8.6339,Switzerland,CH,Schwyz,,1938,1938
Savièse,46.2500,7.3333,Switzerland,CH,Valais,,7712,7712
Savigny,46.5667,6.7167,Switzerland,CH,Vaud,,3357,3357
Savosa,46.0167,8.9500,Switzerland,CH,Ticino,,2213,2213
Saxon,46.1500,7.1667,Switzerland,CH,Valais,,5897,5897
Schänis,47.1588,9.0466,Switzerland,CH,Sankt Gallen,,3818,3818
Schöfflisdorf,47.5008,8.4169,Switzerland,CH,Zürich,,1398,1398
Schöftland,47.3053,8.0528,Switzerland,CH,Aargau,,4393,4393
Schönenberg,47.1939,8.6447,Switzerland,CH,Zürich,,1844,1844
Schönenbuch,47.5369,7.5008,Switzerland,CH,Basel-Landschaft,,1385,1385
Schönenwerd,47.3719,8.0028,Switzerland,CH,Solothurn,,4910,4910
Schötz,47.1711,7.9894,Switzerland,CH,Luzern,,4434,4434
Schübelbach,47.1733,8.9264,Switzerland,CH,Schwyz,,9249,9249
Schüpfen,47.0358,7.3747,Switzerland,CH,Bern,,3732,3732
Schüpfheim,46.9500,8.0150,Switzerland,CH,Luzern,minor,4219,4219
Schaffhausen,47.6965,8.6339,Switzerland,CH,Schaffhausen,admin,36587,36587
Schafisheim,47.3789,8.1431,Switzerland,CH,Aargau,,2997,2997
Schattdorf,46.8494,8.6713,Switzerland,CH,Uri,,5418,5418
Schenkon,47.1736,8.1369,Switzerland,CH,Luzern,,2939,2939
Schiers,46.9664,9.6833,Switzerland,CH,Graubünden,,2679,2679
Schinznach Bad,47.4497,8.1694,Switzerland,CH,Aargau,,1347,1347
Schinznach Dorf,47.4486,8.1445,Switzerland,CH,Aargau,,2255,2255
Schlatterlehn,47.3567,9.3961,Switzerland,CH,Appenzell Ausserrhoden,,1126,1126
Schleitheim,47.7493,8.4851,Switzerland,CH,Schaffhausen,,1681,1681
Schlieren,47.3989,8.4497,Switzerland,CH,Zürich,,18666,18666
Schmerikon,47.2253,8.9500,Switzerland,CH,Sankt Gallen,,3709,3709
Schmiedrued,47.2639,8.1125,Switzerland,CH,Aargau,,1168,1168
Schneisingen,47.5192,8.3667,Switzerland,CH,Aargau,,1462,1462
Schnottwil,47.1088,7.3912,Switzerland,CH,Solothurn,,1135,1135
Schongau,47.2672,8.2581,Switzerland,CH,Luzern,,1044,1044
Schwarzenberg,47.0142,8.1733,Switzerland,CH,Luzern,,1709,1709
Schwarzenburg,46.8167,7.3333,Switzerland,CH,Bern,,6829,6829
Schwellbrunn,47.3523,9.2490,Switzerland,CH,Appenzell Ausserrhoden,,1573,1573
Schwerzenbach,47.3818,8.6559,Switzerland,CH,Zürich,,5088,5088
Schwyz,47.0211,8.6536,Switzerland,CH,Schwyz,admin,14177,14177
Scuol,46.7970,10.2995,Switzerland,CH,Graubünden,,4591,4591
Seeberg,47.1550,7.6647,Switzerland,CH,Bern,,1560,1560
Seedorf,46.8828,8.6131,Switzerland,CH,Uri,,1858,1858
Seedorf,47.0347,7.3125,Switzerland,CH,Bern,,3114,3114
Seegräben,47.3433,8.7719,Switzerland,CH,Zürich,,1426,1426
Seengen,47.3275,8.2083,Switzerland,CH,Aargau,,3994,3994
Seewen,47.4358,7.6597,Switzerland,CH,Solothurn,,1010,1010
Seewis im Prätigau,46.9903,9.6375,Switzerland,CH,Graubünden,,1342,1342
Seftigen,46.7867,7.5408,Switzerland,CH,Bern,,2143,2143
Seltisberg,47.4594,7.7172,Switzerland,CH,Basel-Landschaft,,1301,1301
Selzach,47.2056,7.4556,Switzerland,CH,Solothurn,,3453,3453
Sembrancher,46.0780,7.1512,Switzerland,CH,Valais,,1042,1042
Sempach,47.1328,8.1936,Switzerland,CH,Luzern,,4169,4169
Semsales,46.5667,6.9333,Switzerland,CH,Fribourg,,1412,1412
Sennwald,47.2439,9.4768,Switzerland,CH,Sankt Gallen,,5592,5592
Seon,47.3458,8.1597,Switzerland,CH,Aargau,,5288,5288
Servion,46.5667,6.7833,Switzerland,CH,Vaud,,1944,1944
Seuzach,47.5358,8.7294,Switzerland,CH,Zürich,,7291,7291
Sevelen,47.1204,9.4857,Switzerland,CH,Sankt Gallen,,5103,5103
Sierre,46.2918,7.5320,Switzerland,CH,Valais,,16860,16860
Signau,46.9217,7.7267,Switzerland,CH,Bern,,2659,2659
Sigriswil,46.7164,7.7167,Switzerland,CH,Bern,,4832,4832
Silenen,46.7911,8.6692,Switzerland,CH,Uri,,1991,1991
Silvaplauna,46.4667,9.7997,Switzerland,CH,Graubünden,,1111,1111
Sins,47.1914,8.3969,Switzerland,CH,Aargau,,4259,4259
Sion,46.2304,7.3661,Switzerland,CH,Valais,,34708,34708
Sirnach,47.4664,8.9997,Switzerland,CH,Thurgau,,7767,7767
Sissach,47.4644,7.8106,Switzerland,CH,Basel-Landschaft,,6681,6681
Sisseln,47.5544,7.9903,Switzerland,CH,Aargau,,1616,1616
Siviriez,46.6500,6.8833,Switzerland,CH,Fribourg,,2238,2238
Solothurn,47.2081,7.5375,Switzerland,CH,Solothurn,admin,16777,16777
Sonvilier,47.1394,6.9653,Switzerland,CH,Bern,,1237,1237
Sorengo,46.0000,8.9333,Switzerland,CH,Ticino,,1774,1774
Sorens,46.6667,7.0667,Switzerland,CH,Fribourg,,1098,1098
Speicher,47.4106,9.4433,Switzerland,CH,Appenzell Ausserrhoden,,4379,4379
Spiez,46.6831,7.6664,Switzerland,CH,Bern,,12810,12810
Spreitenbach,47.4181,8.3661,Switzerland,CH,Aargau,,11788,11788
Stäfa,47.2401,8.7328,Switzerland,CH,Zürich,,14389,14389
Stüsslingen,47.3942,7.9708,Switzerland,CH,Solothurn,,1055,1055
Stabio,45.8500,8.9333,Switzerland,CH,Ticino,,4591,4591
Stadel bei Niederglatt,47.5294,8.4664,Switzerland,CH,Zürich,,2271,2271
Staffelbach,47.2831,8.0472,Switzerland,CH,Aargau,,1281,1281
Stalden,46.2333,7.8667,Switzerland,CH,Valais,,1086,1086
Stallikon,47.3272,8.4908,Switzerland,CH,Zürich,,3687,3687
Stans,46.9594,8.3667,Switzerland,CH,Nidwalden,admin,8393,8393
Stansstad,46.9803,8.3389,Switzerland,CH,Nidwalden,,4576,4576
Starrkirch,47.3483,7.9264,Switzerland,CH,Solothurn,,1714,1714
Staufen,47.3833,8.1667,Switzerland,CH,Aargau,,3336,3336
Steckborn,47.6664,8.9831,Switzerland,CH,Thurgau,,3753,3753
Steffisburg,46.7831,7.6333,Switzerland,CH,Bern,,15816,15816
Stein am Rhein,47.6594,8.8592,Switzerland,CH,Schaffhausen,,3376,3376
Stein,47.3733,9.3444,Switzerland,CH,Appenzell Ausserrhoden,,1423,1423
Stein,47.4997,9.4333,Switzerland,CH,Sankt Gallen,,3604,3604
Stein,47.5442,7.9514,Switzerland,CH,Aargau,,3198,3198
Steinen,47.0489,8.6114,Switzerland,CH,Schwyz,,3417,3417
Steinhaus,47.1969,8.4861,Switzerland,CH,Luzern,,10025,10025
Steinmaur,47.4942,8.4478,Switzerland,CH,Zürich,,3460,3460
Stetten,47.4014,8.3069,Switzerland,CH,Aargau,,2201,2201
Stetten,47.7331,8.6500,Switzerland,CH,Schaffhausen,,1351,1351
Stettfurt,47.5261,8.9556,Switzerland,CH,Thurgau,,1204,1204
Stettlen,46.9594,7.5236,Switzerland,CH,Bern,,3113,3113
Strengelbach,47.2817,7.9292,Switzerland,CH,Aargau,,4893,4893
Subingen,47.1967,7.6153,Switzerland,CH,Solothurn,,3201,3201
Suhr,47.3747,8.0806,Switzerland,CH,Aargau,,10424,10424
Sulgen,47.5423,9.1931,Switzerland,CH,Thurgau,,3869,3869
Sullens,46.6000,6.5667,Switzerland,CH,Vaud,,1036,1036
Sumiswald,47.0275,7.7453,Switzerland,CH,Bern,,5046,5046
Sumvitg,46.7164,8.9331,Switzerland,CH,Graubünden,,1158,1158
Sursee,47.1742,8.1081,Switzerland,CH,Luzern,minor,9900,9900
Tägerig,47.4039,8.2806,Switzerland,CH,Aargau,,1511,1511
Tägerwilen,47.6556,9.1311,Switzerland,CH,Thurgau,,4642,4642
Täsch,46.0667,7.7667,Switzerland,CH,Valais,,1318,1318
Täuffelen,47.0667,7.2000,Switzerland,CH,Bern,,2872,2872
Tübach,47.4833,9.4500,Switzerland,CH,Sankt Gallen,,1461,1461
Tafers,46.8163,7.2210,Switzerland,CH,Fribourg,minor,1000,1000
Tamins,46.8294,9.4066,Switzerland,CH,Graubünden,,1217,1217
Tannay,46.3000,6.1833,Switzerland,CH,Vaud,,1574,1574
Tavannes,47.2208,7.2014,Switzerland,CH,Bern,,3626,3626
Tegerfelden,47.5619,8.2848,Switzerland,CH,Aargau,,1190,1190
Teufen,47.3900,9.3900,Switzerland,CH,Appenzell Ausserrhoden,,6265,6265
Teufenthal,47.3317,8.1167,Switzerland,CH,Aargau,,1672,1672
Thônex,46.2000,6.2167,Switzerland,CH,Genève,,14122,14122
Thürnen,47.4572,7.8303,Switzerland,CH,Basel-Landschaft,,1363,1363
Thal,47.4664,9.5667,Switzerland,CH,Sankt Gallen,,6570,6570
Thalwil,47.2953,8.5647,Switzerland,CH,Zürich,,17784,17784
Thayngen,47.7331,8.6997,Switzerland,CH,Schaffhausen,,5453,5453
Therwil,47.4997,7.5500,Switzerland,CH,Basel-Landschaft,,9947,9947
Thierachern,46.7500,7.5667,Switzerland,CH,Bern,,2428,2428
Thun,46.7590,7.6300,Switzerland,CH,Bern,minor,43743,43743
Thundorf,47.5472,8.9644,Switzerland,CH,Thurgau,,1437,1437
Thunstetten,47.2039,7.7569,Switzerland,CH,Bern,,3395,3395
Thusis,46.6885,9.4328,Switzerland,CH,Graubünden,minor,3217,3217
Tiefencastel,46.6450,9.6131,Switzerland,CH,Graubünden,minor,4000,4000
Toffen,46.8588,7.4924,Switzerland,CH,Bern,,2509,2509
Tolochenaz,46.5000,6.4667,Switzerland,CH,Vaud,,1932,1932
Torricella,46.0667,8.9167,Switzerland,CH,Ticino,,3087,3087
Trélex,46.4167,6.2000,Switzerland,CH,Vaud,,1402,1402
Trüllikon,47.6392,8.6931,Switzerland,CH,Zürich,,1054,1054
Tramelan,47.2233,7.1014,Switzerland,CH,Bern,,4564,4564
Treyvaux,46.7333,7.1333,Switzerland,CH,Fribourg,,1470,1470
Triengen,47.2358,8.0758,Switzerland,CH,Luzern,,4652,4652
Trimbach,47.3636,7.9000,Switzerland,CH,Solothurn,,6543,6543
Trimmis,46.8958,9.5642,Switzerland,CH,Graubünden,,3304,3304
Trin,46.8624,9.3299,Switzerland,CH,Graubünden,,1429,1429
Trogen,47.4075,9.4647,Switzerland,CH,Appenzell Ausserrhoden,,1735,1735
Troinex,46.1631,6.1475,Switzerland,CH,Genève,,2501,2501
Troistorrents,46.2333,6.9167,Switzerland,CH,Valais,,4683,4683
Trub,46.9331,7.8831,Switzerland,CH,Bern,,1350,1350
Trun,46.7433,8.9831,Switzerland,CH,Graubünden,,1170,1170
Tuggen,47.2031,8.9456,Switzerland,CH,Schwyz,,3309,3309
Turbenthal,47.4383,8.8442,Switzerland,CH,Zürich,,4748,4748
Turgi,47.4946,8.2527,Switzerland,CH,Aargau,,3014,3014
Twann,47.0831,7.1500,Switzerland,CH,Bern,,1171,1171
Udligenswil,47.0906,8.4006,Switzerland,CH,Luzern,,2280,2280
Ueberstorf,46.8695,7.3264,Switzerland,CH,Fribourg,,2375,2375
Uerkheim,47.3053,8.0250,Switzerland,CH,Aargau,,1334,1334
Uetendorf,46.7664,7.5667,Switzerland,CH,Bern,,5892,5892
Uetikon am See,47.2669,8.6772,Switzerland,CH,Zürich,,6145,6145
Uitikon,47.3719,8.4531,Switzerland,CH,Zürich,,4239,4239
Unterägeri,47.1386,8.5844,Switzerland,CH,Zug,,8867,8867
Untereggen,47.4664,9.4497,Switzerland,CH,Sankt Gallen,,1073,1073
Unterengstringen,47.4147,8.4497,Switzerland,CH,Zürich,,3804,3804
Unterentfelden,47.3692,8.0417,Switzerland,CH,Aargau,,4155,4155
Unteriberg,47.0622,8.8036,Switzerland,CH,Schwyz,,2395,2395
Unterkulm,47.3122,8.1150,Switzerland,CH,Aargau,,3086,3086
Unterlunkhofen,47.3219,8.3819,Switzerland,CH,Aargau,,1415,1415
Unterseen,46.6872,7.8497,Switzerland,CH,Bern,,5750,5750
Untersiggenthal,47.5020,8.2538,Switzerland,CH,Aargau,,7240,7240
Untervaz,46.9275,9.5350,Switzerland,CH,Graubünden,,2517,2517
Urdorf,47.3867,8.4278,Switzerland,CH,Zürich,,9768,9768
Urnäsch,47.3181,9.2858,Switzerland,CH,Appenzell Ausserrhoden,,2315,2315
Ursy,46.6333,6.8333,Switzerland,CH,Fribourg,,3198,3198
Uster,47.3492,8.7192,Switzerland,CH,Zürich,minor,34442,34442
Uttwil,47.5844,9.3410,Switzerland,CH,Thurgau,,1857,1857
Utzenstorf,47.1269,7.5572,Switzerland,CH,Bern,,4331,4331
Uznach,47.2242,8.9839,Switzerland,CH,Sankt Gallen,,6416,6416
Vétroz,46.2258,7.2707,Switzerland,CH,Valais,,6372,6372
Vacallo,45.8500,9.0333,Switzerland,CH,Ticino,,3398,3398
Val-d’Illiez,46.2000,6.9000,Switzerland,CH,Valais,,1961,1961
Vallorbe,46.7167,6.3833,Switzerland,CH,Vaud,,3837,3837
Vals,46.6164,9.1833,Switzerland,CH,Graubünden,,1007,1007
Vandœuvres,46.2167,6.2000,Switzerland,CH,Genève,,2484,2484
Vaulruz,46.6167,6.9833,Switzerland,CH,Fribourg,,1063,1063
Vechigen,46.9469,7.5625,Switzerland,CH,Bern,,5298,5298
Veltheim,47.4400,8.1483,Switzerland,CH,Aargau,,1465,1465
Venthône,46.3000,7.5333,Switzerland,CH,Valais,,1283,1283
Vernayaz,46.1333,7.0333,Switzerland,CH,Valais,,1885,1885
Vernier,46.2000,6.1000,Switzerland,CH,Genève,,35132,35132
Versoix,46.2833,6.1667,Switzerland,CH,Genève,,13422,13422
Vevey,46.4667,6.8500,Switzerland,CH,Vaud,,19891,19891
Vex,46.2167,7.4000,Switzerland,CH,Valais,,1811,1811
Veyras,46.3000,7.5333,Switzerland,CH,Valais,,1833,1833
Veyrier,46.1667,6.1833,Switzerland,CH,Genève,,11609,11609
Vezia,46.0167,8.9333,Switzerland,CH,Ticino,,1914,1914
Vich,46.4333,6.2500,Switzerland,CH,Vaud,,1035,1035
Villars-le-Terroir,46.6500,6.6333,Switzerland,CH,Vaud,,1212,1212
Villars-sur-Glâne,46.7833,7.1167,Switzerland,CH,Fribourg,,12092,12092
Villaz-Saint-Pierre,46.7167,6.9500,Switzerland,CH,Fribourg,,1305,1305
Villeneuve,46.4063,6.9731,Switzerland,CH,Vaud,,5767,5767
Villigen,47.5262,8.2196,Switzerland,CH,Aargau,,2126,2126
Villmergen,47.3483,8.2456,Switzerland,CH,Aargau,,7324,7324
Villnachern,47.4714,8.1608,Switzerland,CH,Aargau,,1632,1632
Vionnaz,46.3167,6.9000,Switzerland,CH,Valais,,2727,2727
Visp,46.2922,7.8828,Switzerland,CH,Valais,,7891,7891
Visperterminen,46.2500,7.9000,Switzerland,CH,Valais,,1345,1345
Vitznau,47.0101,8.4842,Switzerland,CH,Luzern,,1379,1379
Volketswil,47.3906,8.6953,Switzerland,CH,Zürich,,18615,18615
Vollèges,46.0833,7.1667,Switzerland,CH,Valais,,2018,2018
Vordemwald,47.2761,7.9000,Switzerland,CH,Aargau,,1954,1954
Vorderthal,47.1203,8.9008,Switzerland,CH,Schwyz,,1015,1015
Vouvry,46.3333,6.8833,Switzerland,CH,Valais,,4198,4198
Vuadens,46.6167,7.0167,Switzerland,CH,Fribourg,,2405,2405
Vuarrens,46.6833,6.6500,Switzerland,CH,Vaud,,1004,1004
Vufflens-la-Ville,46.5833,6.5333,Switzerland,CH,Vaud,,1298,1298
Vuisternens-devant-Romont,46.6500,6.9333,Switzerland,CH,Fribourg,,2324,2324
Wädenswil,47.2303,8.6722,Switzerland,CH,Zürich,,21716,21716
Wäldi,47.6333,9.0831,Switzerland,CH,Thurgau,,1059,1059
Wängi,47.5000,8.9497,Switzerland,CH,Thurgau,,4720,4720
Wölflinswil,47.4611,7.9979,Switzerland,CH,Aargau,,1048,1048
Würenlingen,47.5322,8.2566,Switzerland,CH,Aargau,,4701,4701
Würenlos,47.4418,8.3647,Switzerland,CH,Aargau,,6482,6482
Wagenhausen,47.6597,8.8486,Switzerland,CH,Thurgau,,1694,1694
Wahlen,47.4028,7.5164,Switzerland,CH,Basel-Landschaft,,1462,1462
Walchwil,47.0997,8.5164,Switzerland,CH,Zug,,3663,3663
Wald,47.2753,8.9144,Switzerland,CH,Zürich,,9758,9758
Waldenburg,47.3831,7.7500,Switzerland,CH,Basel-Landschaft,,1125,1125
Waldkirch,47.4664,9.2831,Switzerland,CH,Sankt Gallen,,3500,3500
Waldstatt,47.3575,9.2858,Switzerland,CH,Appenzell Ausserrhoden,,1869,1869
Walenstadt,47.1234,9.3150,Switzerland,CH,Sankt Gallen,,5679,5679
Walkringen,46.9467,7.6200,Switzerland,CH,Bern,,1767,1767
Wallisellen,47.4122,8.5922,Switzerland,CH,Zürich,,15855,15855
Waltenschwil,47.3358,8.3053,Switzerland,CH,Aargau,,2933,2933
Waltikon,47.3667,8.5833,Switzerland,CH,Zürich,,10600,10600
Walzenhausen,47.4511,9.6014,Switzerland,CH,Appenzell Ausserrhoden,,1971,1971
Wangen an der Aare,47.2311,7.6502,Switzerland,CH,Bern,,2311,2311
Wangen bei Olten,47.3442,7.8694,Switzerland,CH,Solothurn,,5056,5056
Wangen,47.1908,8.8956,Switzerland,CH,Schwyz,,5053,5053
Wattenwil,46.7700,7.5072,Switzerland,CH,Bern,,2935,2935
Wattwil,47.2957,9.0830,Switzerland,CH,Sankt Gallen,,8736,8736
Wauwil,47.1831,8.0167,Switzerland,CH,Luzern,,2247,2247
Weesen,47.1427,9.0933,Switzerland,CH,Sankt Gallen,,1723,1723
Wegenstetten,47.5000,7.9333,Switzerland,CH,Aargau,,1066,1066
Weggis,47.0322,8.4383,Switzerland,CH,Luzern,,4368,4368
Weiach,47.5581,8.4375,Switzerland,CH,Zürich,,1750,1750
Weinfelden,47.5698,9.1120,Switzerland,CH,Thurgau,minor,11534,11534
Weiningen,47.4208,8.4356,Switzerland,CH,Zürich,,4760,4760
Weisslingen,47.4325,8.7639,Switzerland,CH,Zürich,,3301,3301
Welschenrohr,47.2814,7.5289,Switzerland,CH,Solothurn,,1114,1114
Werthenstein,47.0561,8.1017,Switzerland,CH,Luzern,,2121,2121
Wettingen,47.4659,8.3267,Switzerland,CH,Aargau,,20721,20721
Wetzikon,47.3208,8.7931,Switzerland,CH,Zürich,,24452,24452
Wichtrach,46.8428,7.5764,Switzerland,CH,Bern,,4294,4294
Widen,47.3700,8.3581,Switzerland,CH,Aargau,,3698,3698
Widnau,47.3997,9.6333,Switzerland,CH,Sankt Gallen,,9616,9616
Wiedlisbach,47.2520,7.6467,Switzerland,CH,Bern,,2377,2377
Wiesendangen,47.5222,8.7911,Switzerland,CH,Zürich,,6521,6521
Wigoltingen,47.5958,9.0329,Switzerland,CH,Thurgau,,2457,2457
Wikon,47.2628,7.9658,Switzerland,CH,Luzern,,1528,1528
Wil,47.4664,9.0497,Switzerland,CH,Sankt Gallen,minor,23768,23768
Wil,47.6058,8.5075,Switzerland,CH,Zürich,,1425,1425
Wila,47.4183,8.8492,Switzerland,CH,Zürich,,1971,1971
Wilchingen,47.6664,8.4667,Switzerland,CH,Schaffhausen,,1737,1737
Wilderswil,46.6664,7.8667,Switzerland,CH,Bern,,2655,2655
Wilen,47.4500,9.0333,Switzerland,CH,Sankt Gallen,,2520,2520
Willisau,47.1206,7.9928,Switzerland,CH,Luzern,,7780,7780
Wimmis,46.6752,7.6376,Switzerland,CH,Bern,,2538,2538
Windisch,47.4803,8.2222,Switzerland,CH,Aargau,,7654,7654
Winkel,47.4922,8.5539,Switzerland,CH,Zürich,,4511,4511
Winterthur,47.4992,8.7267,Switzerland,CH,Zürich,minor,109775,109775
Winznau,47.3656,7.9333,Switzerland,CH,Solothurn,,1919,1919
Wittenbach,47.4667,9.3795,Switzerland,CH,Sankt Gallen,,9691,9691
Witterswil,47.4872,7.5236,Switzerland,CH,Solothurn,,1438,1438
Wittnau,47.4811,7.9778,Switzerland,CH,Aargau,,1309,1309
Wohlen,47.3506,8.2778,Switzerland,CH,Aargau,,16078,16078
Wohlenschwil,47.4115,8.2590,Switzerland,CH,Aargau,,1565,1565
Wolfenschiessen,46.9094,8.3972,Switzerland,CH,Nidwalden,,2097,2097
Wolfhalden,47.4539,9.5508,Switzerland,CH,Appenzell Ausserrhoden,,1837,1837
Wolfwil,47.2692,7.7931,Switzerland,CH,Solothurn,,2272,2272
Wolhusen,47.0617,8.0744,Switzerland,CH,Luzern,,4340,4340
Wollerau,47.1956,8.7194,Switzerland,CH,Schwyz,,7255,7255
Worb,46.9306,7.5644,Switzerland,CH,Bern,,11311,11311
Worben,47.1007,7.2965,Switzerland,CH,Bern,,2286,2286
Wuppenau,47.4972,9.1089,Switzerland,CH,Thurgau,,1111,1111
Wynau,47.2608,7.8111,Switzerland,CH,Bern,,1629,1629
Wynigen,47.1067,7.6681,Switzerland,CH,Bern,,2060,2060
Wyssachen,47.0740,7.8214,Switzerland,CH,Bern,,1137,1137
Yens,46.5270,6.4067,Switzerland,CH,Vaud,,1430,1430
Yverdon-les-Bains,46.7785,6.6408,Switzerland,CH,Vaud,minor,30157,30157
Yvonand,46.8000,6.7500,Switzerland,CH,Vaud,,3427,3427
Yvorne,46.3333,6.9500,Switzerland,CH,Vaud,,1066,1066
Zäziwil,46.9017,7.6617,Switzerland,CH,Bern,,1595,1595
Zürich,47.3786,8.5400,Switzerland,CH,Zürich,admin,434008,434008
Zeihen,47.4775,8.0847,Switzerland,CH,Aargau,,1171,1171
Zeiningen,47.5428,7.8708,Switzerland,CH,Aargau,,2310,2310
Zell,47.1357,7.9263,Switzerland,CH,Luzern,,2037,2037
Zell,47.4489,8.8233,Switzerland,CH,Zürich,,5929,5929
Zermatt,46.0193,7.7461,Switzerland,CH,Valais,,5643,5643
Zernez,46.6997,10.0997,Switzerland,CH,Graubünden,,1527,1527
Zetzwil,47.2886,8.1528,Switzerland,CH,Aargau,,1305,1305
Ziefen,47.4314,7.7053,Switzerland,CH,Basel-Landschaft,,1589,1589
Zizers,46.9361,9.5653,Switzerland,CH,Graubünden,,3434,3434
Zofingen,47.2884,7.9475,Switzerland,CH,Aargau,,11655,11655
Zollikon,47.3422,8.5783,Switzerland,CH,Zürich,,13008,13008
Zuchwil,47.2056,7.5597,Switzerland,CH,Solothurn,,8875,8875
Zufikon,47.3459,8.3595,Switzerland,CH,Aargau,,4479,4479
Zug,47.1681,8.5169,Switzerland,CH,Zug,admin,30542,30542
Zumikon,47.3328,8.6239,Switzerland,CH,Zürich,,5120,5120
Zunzgen,47.4493,7.8079,Switzerland,CH,Basel-Landschaft,,2560,2560
Zuoz,46.6020,9.9598,Switzerland,CH,Graubünden,,1186,1186
Zuzwil,47.4713,9.1022,Switzerland,CH,Sankt Gallen,,4785,4785
Zweisimmen,46.5497,7.3664,Switzerland,CH,Bern,,3020,3020
Zwingen,47.4331,7.5333,Switzerland,CH,Basel-Landschaft,,2399,2399
